date,revenue,pageviews,sessions,session_rpm,page_rpm,cpm,paid_impressions,paid_impressions_per_session,paid_impressions_per_pageview,overall_viewability
2026/01/01,129.84,5617,4771,27.22,23.12,1.12,115741,24.26,20.61,71.4
2026/01/02,136.42,5518,4824,28.28,24.72,1.14,119686,24.81,21.69,69.6
2026/01/03,146.48,6042,5160,28.39,24.24,1.1,133771,25.92,22.14,69.2
2026/01/04,140.08,6261,5274,26.56,22.37,1.1,127324,24.14,20.34,70.2
2026/01/05,118.85,4879,4188,28.38,24.36,1.21,98347,23.48,20.16,69.3
2026/01/06,118.87,4365,3716,31.99,27.23,1.3,91534,24.63,20.97,67.6
2026/01/07,109.23,3727,3221,33.91,29.31,1.36,80272,24.92,21.54,67.3
2026/01/08,108.62,3787,3168,34.29,28.68,1.36,79955,25.24,21.11,66.7
2026/01/09,117.11,3708,3099,37.79,31.59,1.4,83696,27.01,22.57,68.4
2026/01/10,147.55,4503,3704,39.84,32.77,1.36,108600,29.32,24.12,68
2026/01/11,148.41,4935,4076,36.41,30.07,1.33,111790,27.43,22.65,66.5
2026/01/12,121.41,4077,3328,36.48,29.78,1.4,86792,26.08,21.29,63.6
2026/01/13,105.09,3657,3108,33.81,28.74,1.39,75846,24.4,20.74,63.6
2026/01/14,84.97,3668,3101,27.40,23.17,1.23,68891,22.22,18.78,60.5
2026/01/15,133.62,3617,2987,44.74,36.94,1.52,88181,29.52,24.38,63.1
2026/01/16,135.32,3718,3058,44.25,36.40,1.48,91353,29.87,24.57,63
2026/01/17,167.37,4612,3715,45.06,36.29,1.43,116959,31.48,25.36,64.5
2026/01/18,172.72,4856,3857,44.78,35.57,1.47,117205,30.39,24.14,63.7
2026/01/19,153.59,4456,3577,42.94,34.47,1.44,106655,29.82,23.94,63.9
2026/01/20,118.12,3664,2998,39.40,32.24,1.41,83544,27.87,22.8,64
2026/01/21,101.13,3408,2769,36.52,29.68,1.33,75845,27.39,22.25,63.6
2026/01/22,94.22,3277,2729,34.53,28.75,1.36,69523,25.48,21.22,64.5
2026/01/23,119.38,3533,2772,43.07,33.79,1.5,79524,28.69,22.51,64.2
2026/01/24,121.41,3975,3110,39.04,30.55,1.4,86623,27.85,21.79,66.5
2026/01/25,133.80,4260,3333,40.15,31.41,1.46,91849,27.56,21.56,67.4
2026/01/26,116.63,3800,3059,38.13,30.69,1.46,80058,26.17,21.07,64.9
2026/01/27,116.43,3462,2778,41.91,33.63,1.56,74724,26.9,21.58,65.7
2026/01/28,110.81,3160,2550,43.46,35.07,1.58,70143,27.51,22.2,63.3
2026/01/29,119.75,3200,2675,44.77,37.42,1.63,73555,27.5,22.99,64.6
2026/01/30,107.42,2954,2477,43.37,36.37,1.66,64603,26.08,21.87,65.2

