date,revenue,pageviews,sessions,session_rpm,page_rpm,cpm,paid_impressions,paid_impressions_per_session,paid_impressions_per_pageview,overall_viewability
2026/01/01,5.01,377,331,15.14,13.29,1.11,4511,13.63,11.97,69.1
2026/01/02,4.83,343,317,15.26,14.11,1.15,4214,13.29,12.29,66.5
2026/01/03,4.09,279,255,16.04,14.66,1.17,3505,13.75,12.56,69.6
2026/01/04,4.51,313,296,15.25,14.42,1.07,4236,14.31,13.53,66.8
2026/01/05,5.20,306,261,19.93,17.00,1.21,4307,16.5,14.08,65.4
2026/01/06,3.96,254,217,18.27,15.61,1.18,3353,15.45,13.2,74.8
2026/01/07,4.02,265,238,16.90,15.17,1.1,3645,15.32,13.75,72.1
2026/01/08,4.22,260,230,18.36,16.25,1.13,3728,16.21,14.34,70.7
2026/01/09,4.10,246,227,18.10,16.70,1.05,3911,17.23,15.9,69.9
2026/01/10,5.38,244,221,24.35,22.05,1.31,4105,18.57,16.82,72.2
2026/01/11,6.10,335,293,20.83,18.22,1.3,4681,15.98,13.97,67.2
2026/01/12,4.52,291,268,16.89,15.55,1.04,4357,16.26,14.97,71
2026/01/13,6.05,286,251,24.13,21.17,1.34,4534,18.06,15.85,65.2
2026/01/14,3.99,252,242,16.51,15.86,1.13,3542,14.64,14.06,66.2
2026/01/15,4.41,277,264,16.74,15.95,1.13,3898,14.77,14.07,72
2026/01/16,3.89,267,251,15.53,14.60,1.22,3188,12.7,11.94,68.4
2026/01/17,4.58,286,260,17.64,16.04,1.25,3662,14.08,12.8,69.9
2026/01/18,4.39,257,234,18.79,17.11,1.2,3668,15.68,14.27,69.5
2026/01/19,3.77,252,219,17.26,15.00,1.11,3408,15.56,13.52,71.8
2026/01/20,4.02,250,218,18.47,16.11,1.3,3104,14.24,12.42,66.3
2026/01/21,4.09,213,199,20.59,19.24,1.22,3371,16.94,15.83,70.4
2026/01/22,4.32,223,195,22.19,19.40,1.53,2831,14.52,12.7,66.1
2026/01/23,5.99,247,221,27.14,24.28,2.04,2933,13.27,11.87,71
2026/01/24,4.75,297,251,18.93,16.00,1.27,3728,14.85,12.55,68.3
2026/01/25,6.42,322,286,22.47,19.95,1.48,4330,15.14,13.45,65.1
2026/01/26,3.78,241,218,17.36,15.70,1.25,3024,13.87,12.55,71.5
2026/01/27,4.39,239,209,21.03,18.39,1.37,3218,15.4,13.46,73.2
2026/01/28,2.91,216,202,14.44,13.51,1.24,2355,11.66,10.9,65.5
2026/01/29,4.08,221,203,20.15,18.51,1.46,2803,13.81,12.68,64.3
2026/01/30,3.26,192,179,18.25,17.02,1.38,2360,13.18,12.29,65.1
