date,revenue,pageviews,sessions,session_rpm,page_rpm,cpm,paid_impressions,paid_impressions_per_session,paid_impressions_per_pageview,overall_viewability
2026/01/01,2.46,115,101,24.36,21.39,1.68,1464,14.5,12.73,77
2026/01/02,2.86,111,85,33.66,25.77,1.48,1933,22.74,17.41,78.8
2026/01/03,1.71,94,92,18.62,18.23,1.22,1410,15.33,15,77.9
2026/01/04,1.31,103,93,14.14,12.77,1,1310,14.09,12.72,75.6
2026/01/05,2.49,118,101,24.69,21.13,1.3,1921,19.02,16.28,76.6
2026/01/06,1.81,87,81,22.46,20.91,1.56,1168,14.42,13.43,71.5
2026/01/07,3.47,100,93,37.39,34.77,1.43,2440,26.24,24.4,81.9
2026/01/08,1.50,107,97,15.56,14.11,1.34,1129,11.64,10.55,71.3
2026/01/09,3.00,115,97,30.99,26.14,1.86,1615,16.65,14.04,72.4
2026/01/10,1.51,90,76,19.96,16.86,1.4,1087,14.3,12.08,74.8
2026/01/11,2.25,90,78,28.88,25.03,1.58,1426,18.28,15.84,73
2026/01/12,1.91,94,87,22.05,20.40,1.54,1246,14.32,13.26,72.2
2026/01/13,2.61,99,76,34.43,26.43,1.58,1651,21.72,16.68,76.7
2026/01/14,2.70,124,105,25.74,21.80,1.53,1768,16.84,14.26,70.3
2026/01/15,2.53,93,79,32.03,27.21,2.04,1240,15.7,13.33,79.1
2026/01/16,2.19,103,92,23.90,21.35,1.71,1288,14,12.5,71.3
2026/01/17,3.32,94,81,41.06,35.38,2.42,1372,16.94,14.6,67
2026/01/18,2.42,115,108,22.44,21.07,1.43,1689,15.64,14.69,70.5
2026/01/19,3.37,107,104,32.41,31.50,1.63,2067,19.88,19.32,80.6
2026/01/20,2.27,104,88,25.88,21.90,2.09,1092,12.41,10.5,63.4
2026/01/21,1.28,87,80,16.04,14.74,1.26,1017,12.71,11.69,73.8
2026/01/22,2.95,88,87,34.02,33.63,1.9,1558,17.91,17.7,77.2
2026/01/23,1.32,89,73,18.08,14.83,1.12,1179,16.15,13.25,80.3
2026/01/24,1.52,80,78,19.52,19.03,1.65,925,11.86,11.56,80.5
2026/01/25,2.21,84,79,28.04,26.37,1.58,1403,17.76,16.7,76.3
2026/01/26,1.78,111,94,19.01,16.10,1.43,1253,13.33,11.29,73.6
2026/01/27,2.33,91,85,27.48,25.67,1.8,1298,15.27,14.26,79.4
2026/01/28,3.80,123,116,32.79,30.93,2.12,1796,15.48,14.6,78.3
2026/01/29,2.52,93,85,29.73,27.17,1.68,1502,17.67,16.15,74.6
2026/01/30,3.02,110,83,36.43,27.49,2.44,1238,14.92,11.25,72.5
