date,revenue,pageviews,sessions,session_rpm,page_rpm,cpm,paid_impressions,paid_impressions_per_session,paid_impressions_per_pageview,overall_viewability
2026/01/01,3.89,385,360,10.81,10.11,1.05,3715,10.32,9.65,66.7
2026/01/02,4.87,382,352,13.84,12.76,1.26,3869,10.99,10.13,56.1
2026/01/03,1.41,185,175,8.07,7.63,0.94,1495,8.54,8.08,67.8
2026/01/04,2.89,378,359,8.06,7.66,0.91,3178,8.85,8.41,61
2026/01/05,2.55,303,281,9.11,8.45,1.04,2456,8.74,8.11,44.6
2026/01/06,2.32,226,222,10.46,10.28,1.01,2291,10.32,10.14,62.5
2026/01/07,2.24,282,246,9.14,7.97,0.92,2438,9.91,8.65,58.8
2026/01/08,2.63,279,234,11.26,9.45,1.07,2453,10.48,8.79,59.2
2026/01/09,3.31,291,277,11.95,11.38,1.03,3223,11.64,11.08,62.8
2026/01/10,4.10,362,335,12.24,11.33,1.09,3752,11.2,10.36,62.4
2026/01/11,2.62,285,272,9.66,9.22,1,2621,9.64,9.2,53
2026/01/12,2.15,274,259,8.30,7.85,0.96,2244,8.66,8.19,67.2
2026/01/13,2.04,205,195,10.47,9.96,1.02,2001,10.26,9.76,62
2026/01/14,3.71,223,212,17.51,16.64,1.64,2257,10.65,10.12,52.8
2026/01/15,2.54,266,255,9.99,9.57,1.1,2312,9.07,8.69,61.7
2026/01/16,3.08,306,287,10.75,10.08,1.28,2408,8.39,7.87,59.9
2026/01/17,2.07,396,385,5.39,5.24,1.15,1802,4.68,4.55,59.7
2026/01/18,2.75,380,306,9.00,7.25,1.09,2526,8.25,6.65,67.6
2026/01/19,3.54,314,294,12.07,11.30,1.3,2721,9.26,8.67,75.1
2026/01/20,2.07,322,299,6.95,6.45,1.16,1787,5.98,5.55,57
2026/01/21,2.36,267,229,10.31,8.84,1.17,2025,8.84,7.58,62.7
2026/01/22,1.82,181,158,11.57,10.10,1.21,1508,9.54,8.33,70.2
2026/01/23,1.40,156,142,9.90,9.01,1.26,1119,7.88,7.17,65.6
2026/01/24,2.34,211,181,12.98,11.13,1.22,1930,10.66,9.15,60
2026/01/25,1.59,258,236,6.74,6.17,1.03,1549,6.56,6,69.5
2026/01/26,1.46,237,220,6.68,6.20,1.26,1166,5.3,4.92,62.7
2026/01/27,2.50,250,221,11.34,10.03,1.22,2054,9.29,8.22,70.7
2026/01/28,1.42,199,180,7.93,7.17,1.2,1191,6.62,5.98,74.3
2026/01/29,1.70,213,197,8.65,8.00,1.26,1356,6.88,6.37,61.3
2026/01/30,1.18,204,174,6.83,5.82,1.23,964,5.54,4.73,73.5
