date,revenue,pageviews,sessions,session_rpm,page_rpm,cpm,paid_impressions,paid_impressions_per_session,paid_impressions_per_pageview,overall_viewability
2026/01/01,1.68,628,620,2.71,2.68,0.88,1905,3.07,3.03,74.3
2026/01/02,3.49,718,679,5.15,4.87,1.12,3124,4.6,4.35,75
2026/01/03,2.89,762,725,4.00,3.80,0.92,3140,4.33,4.12,80.5
2026/01/04,2.88,643,589,4.90,4.49,0.92,3144,5.34,4.89,72.9
2026/01/05,2.57,884,829,3.11,2.91,0.97,2666,3.22,3.02,77.1
2026/01/06,3.30,657,636,5.20,5.04,1.02,3248,5.11,4.94,79.7
2026/01/07,3.35,669,613,5.47,5.01,0.94,3569,5.82,5.33,76.7
2026/01/08,2.96,614,586,5.06,4.83,1.03,2892,4.94,4.71,69.5
2026/01/09,2.83,485,465,6.09,5.84,1.04,2735,5.88,5.64,67.8
2026/01/10,4.64,461,406,11.45,10.08,1.26,3700,9.11,8.03,72.4
2026/01/11,3.54,407,370,9.58,8.71,1.06,3356,9.07,8.25,70.7
2026/01/12,3.41,691,627,5.45,4.95,0.87,3952,6.3,5.72,74.5
2026/01/13,3.70,524,479,7.73,7.07,0.98,3785,7.9,7.22,75.2
2026/01/14,4.20,530,499,8.43,7.94,1.01,4155,8.33,7.84,73
2026/01/15,5.18,578,508,10.21,8.98,1.13,4583,9.02,7.93,75.1
2026/01/16,6.95,588,525,13.24,11.82,1.31,5299,10.09,9.01,71.5
2026/01/17,9.36,636,598,15.66,14.72,1.43,6564,10.98,10.32,69.6
2026/01/18,5.43,628,575,9.46,8.66,1.2,4514,7.85,7.19,72.9
2026/01/19,7.82,666,605,12.93,11.75,1.17,6692,11.06,10.05,75.5
2026/01/20,7.48,587,536,13.96,12.75,1.13,6598,12.31,11.24,77.8
2026/01/21,5.99,590,506,11.84,10.16,1.12,5356,10.58,9.08,73.1
2026/01/22,5.98,519,469,12.77,11.54,1.13,5292,11.28,10.2,72.2
2026/01/23,6.62,532,472,14.04,12.45,1.17,5668,12.01,10.65,76.5
2026/01/24,4.48,523,486,9.24,8.58,1.11,4062,8.36,7.77,72.9
2026/01/25,6.17,588,508,12.15,10.49,1.17,5257,10.35,8.94,74.4
2026/01/26,4.36,1513,986,4.42,2.88,1.08,4045,4.1,2.67,72.7
2026/01/27,8.72,685,619,14.09,12.73,1.32,6592,10.65,9.62,74.2
2026/01/28,7.16,711,682,10.51,10.08,1.28,5580,8.18,7.85,66.9
2026/01/29,6.18,1301,1242,4.98,4.76,1.23,5035,4.05,3.87,72.2
2026/01/30,6.27,679,619,10.14,9.24,1.3,4841,7.82,7.13,72.1

